Ticker,Date,Bloomberg ESG Score,Bloomberg Environmental Pillar,Bloomberg Governance Pillar,Bloomberg Social Pillar,S&P Global ESG Rank,S&P Global Governance & Economic Dimension Rank,S&P Global Environmental Dimension Rank,S&P Global Social Dimension Rank,Month,Year,Price,Credit Risk Indicator,Beta,Alpha,Issuer Default Risk,30 Day Volatility,P/E Ratio,Revenue,Market Cap,Historical Market Cap,EPS,Yahoo Finance ESG Score,Yahoo Finance Environmental Score,Yahoo Finance Social Score,Yahoo Finance Governance Score,Monthly Return,GICS Sector,GICS Industry,GICS Industry Group,GICS Sub-Industry,Lasso Model
SNI,2018-01-31,,,,,12.0,41.0,33.0,2.0,1,2018,87.99,IG2,1.3009,-0.5175,IG1,10.301,15.2811,956.116,11431.2758,11104.1051,0.51,50.99,65.14,55.47,41.68,0.0305692199578355,Communication Services,Media,Media & Entertainment,Broadcasting,-0.028106721057479
SNI,2018-01-31,,,,,12.0,41.0,33.0,2.0,1,2018,87.99,IG2,1.3009,-0.5175,IG1,10.301,15.2811,956.116,11431.2758,11104.1051,0.51,50.99,65.14,55.47,41.68,0.0305692199578355,Communication Services,Media,Media & Entertainment,Broadcasting,-0.0273042996169473
SNI,2018-02-28,,,,,12.0,41.0,33.0,2.0,2,2018,89.86,IG2,0.9747,0.4425,IG1,9.853,15.6059,956.116,11690.8423,11104.1051,0.51,50.99,65.14,55.47,41.68,0.0212524150471644,Communication Services,Media,Media & Entertainment,Broadcasting,-0.0264898141346076
SNI,2018-02-28,,,,,12.0,41.0,33.0,2.0,2,2018,89.86,IG2,0.9747,0.4425,IG1,9.853,15.6059,956.116,11690.8423,11104.1051,0.51,50.99,65.14,55.47,41.68,0.0212524150471644,Communication Services,Media,Media & Entertainment,Broadcasting,-0.0255743723090723
SNI,2018-03-31,,,,,12.0,41.0,33.0,2.0,3,2018,90.04,Crossover,0.9169,0.6321,IG1,7.562,15.6371,956.116,11714.2604,11104.1051,0.51,,,,,0.0020031159581572,Communication Services,Media,Media & Entertainment,Broadcasting,-0.0247598868267327
SNI,2018-03-31,,,,,12.0,41.0,33.0,2.0,3,2018,90.04,Crossover,0.9169,0.6321,IG1,7.562,15.6371,956.116,11714.2604,11104.1051,0.51,,,,,0.0020031159581572,Communication Services,Media,Media & Entertainment,Broadcasting,-0.023945401344393
SNI,2018-04-30,,,,,12.0,41.0,33.0,2.0,4,2018,90.04,Crossover,0.9169,0.6321,IG1,7.562,15.6371,956.116,11714.2604,11104.1051,0.51,,,,,0.0,Communication Services,Media,Media & Entertainment,Broadcasting,-0.0230904656253469
SNI,2018-04-30,,,,,12.0,41.0,33.0,2.0,4,2018,90.04,Crossover,0.9169,0.6321,IG1,7.562,15.6371,956.116,11714.2604,11104.1051,0.51,,,,,0.0,Communication Services,Media,Media & Entertainment,Broadcasting,-0.0222355299063009
SNI,2018-05-31,,,,,12.0,41.0,33.0,2.0,5,2018,90.04,Crossover,0.9169,0.6321,IG1,7.562,15.6371,956.116,11714.2604,11104.1051,0.51,,,,,0.0,Communication Services,Media,Media & Entertainment,Broadcasting,-0.0213805941872548
SNI,2018-05-31,,,,,12.0,41.0,33.0,2.0,5,2018,90.04,Crossover,0.9169,0.6321,IG1,7.562,15.6371,956.116,11714.2604,11104.1051,0.51,,,,,0.0,Communication Services,Media,Media & Entertainment,Broadcasting,-0.0205256584682088
SNI,2018-06-30,,,,,12.0,41.0,33.0,2.0,6,2018,90.04,Crossover,0.9169,0.6321,HY2,7.562,15.6371,956.116,11714.2604,11104.1051,0.51,,,,,0.0,Communication Services,Media,Media & Entertainment,Broadcasting,-0.0196707227491627
SNI,2018-06-30,,,,,12.0,41.0,33.0,2.0,6,2018,90.04,Crossover,0.9169,0.6321,HY2,7.562,15.6371,956.116,11714.2604,11104.1051,0.51,,,,,0.0,Communication Services,Media,Media & Entertainment,Broadcasting,-0.0187753502723295
SNI,2018-07-31,,,,,12.0,41.0,33.0,2.0,7,2018,90.04,Crossover,0.9169,0.6321,HY2,7.562,15.6371,956.116,11714.2604,11104.1051,0.51,,,,,0.0,Communication Services,Media,Media & Entertainment,Broadcasting,-0.0179204145532835
SNI,2018-07-31,,,,,12.0,41.0,33.0,2.0,7,2018,90.04,Crossover,0.9169,0.6321,HY2,7.562,15.6371,956.116,11714.2604,11104.1051,0.51,,,,,0.0,Communication Services,Media,Media & Entertainment,Broadcasting,-0.0170654788342374
